model,class_name,precision,recall,f1_score,support
densenet201,apple_leaf_healthy,0.73,0.95,0.83,20
densenet201,apple_leaf_rust,0.84,0.84,0.84,38
densenet201,apple_leaf_scab,0.79,0.68,0.73,34
densenet201,corn_grey_leaf_spot,0.53,0.82,0.64,22
densenet201,corn_leaf_blight,0.77,0.63,0.69,43
densenet201,corn_leaf_healthy,0.58,0.92,0.71,12
densenet201,corn_leaf_rust,0.88,0.88,0.88,32
densenet201,potato_leaf_blight,0.79,0.74,0.77,42
densenet201,potato_leafroll_virus,0.67,0.75,0.71,8
densenet201,tomato_leaf_bacterial_spot,0.61,0.52,0.56,27
densenet201,tomato_leaf_early_blight,0.78,0.5,0.61,28
densenet201,tomato_leaf_healthy,0.68,0.83,0.75,18
densenet201,tomato_leaf_late_blight,0.81,0.72,0.76,29
densenet201,tomato_leaf_mould,0.81,0.85,0.83,26
densenet201,tomato_leaf_powdery_mildew,0.73,0.67,0.7,12
densenet201,tomato_septoria_leaf_spot,0.67,0.72,0.69,36
efficientnet_b0,apple_leaf_healthy,0.79,0.95,0.86,20
efficientnet_b0,apple_leaf_rust,0.81,0.76,0.78,38
efficientnet_b0,apple_leaf_scab,0.76,0.74,0.75,34
efficientnet_b0,corn_grey_leaf_spot,0.52,0.55,0.53,22
efficientnet_b0,corn_leaf_blight,0.78,0.67,0.72,43
efficientnet_b0,corn_leaf_healthy,0.5,1.0,0.67,12
efficientnet_b0,corn_leaf_rust,0.77,0.84,0.81,32
efficientnet_b0,potato_leaf_blight,0.83,0.81,0.82,42
efficientnet_b0,potato_leafroll_virus,0.83,0.62,0.71,8
efficientnet_b0,tomato_leaf_bacterial_spot,0.43,0.48,0.46,27
efficientnet_b0,tomato_leaf_early_blight,0.8,0.43,0.56,28
efficientnet_b0,tomato_leaf_healthy,0.71,0.94,0.81,18
efficientnet_b0,tomato_leaf_late_blight,0.85,0.76,0.8,29
efficientnet_b0,tomato_leaf_mould,0.8,0.77,0.78,26
efficientnet_b0,tomato_leaf_powdery_mildew,0.77,0.83,0.8,12
efficientnet_b0,tomato_septoria_leaf_spot,0.6,0.58,0.59,36
efficientnet_b3,apple_leaf_healthy,0.78,0.9,0.84,20
efficientnet_b3,apple_leaf_rust,0.76,0.82,0.78,38
efficientnet_b3,apple_leaf_scab,0.74,0.68,0.71,34
efficientnet_b3,corn_grey_leaf_spot,0.68,0.77,0.72,22
efficientnet_b3,corn_leaf_blight,0.72,0.79,0.76,43
efficientnet_b3,corn_leaf_healthy,0.86,1.0,0.92,12
efficientnet_b3,corn_leaf_rust,0.92,0.75,0.83,32
efficientnet_b3,potato_leaf_blight,0.71,0.76,0.74,42
efficientnet_b3,potato_leafroll_virus,0.57,1.0,0.73,8
efficientnet_b3,tomato_leaf_bacterial_spot,0.46,0.41,0.43,27
efficientnet_b3,tomato_leaf_early_blight,0.57,0.43,0.49,28
efficientnet_b3,tomato_leaf_healthy,0.61,0.78,0.68,18
efficientnet_b3,tomato_leaf_late_blight,0.86,0.62,0.72,29
efficientnet_b3,tomato_leaf_mould,0.68,0.81,0.74,26
efficientnet_b3,tomato_leaf_powdery_mildew,0.77,0.83,0.8,12
efficientnet_b3,tomato_septoria_leaf_spot,0.61,0.47,0.53,36
mobilenetv2,apple_leaf_healthy,0.83,0.95,0.88,20
mobilenetv2,apple_leaf_rust,0.86,0.79,0.82,38
mobilenetv2,apple_leaf_scab,0.77,0.68,0.72,34
mobilenetv2,corn_grey_leaf_spot,0.63,0.86,0.73,22
mobilenetv2,corn_leaf_blight,0.88,0.7,0.78,43
mobilenetv2,corn_leaf_healthy,0.67,0.83,0.74,12
mobilenetv2,corn_leaf_rust,0.88,0.88,0.88,32
mobilenetv2,potato_leaf_blight,0.71,0.86,0.77,42
mobilenetv2,potato_leafroll_virus,0.5,0.75,0.6,8
mobilenetv2,tomato_leaf_bacterial_spot,0.38,0.41,0.39,27
mobilenetv2,tomato_leaf_early_blight,0.62,0.54,0.58,28
mobilenetv2,tomato_leaf_healthy,0.82,0.78,0.8,18
mobilenetv2,tomato_leaf_late_blight,0.82,0.62,0.71,29
mobilenetv2,tomato_leaf_mould,0.73,0.85,0.79,26
mobilenetv2,tomato_leaf_powdery_mildew,1.0,0.5,0.67,12
mobilenetv2,tomato_septoria_leaf_spot,0.62,0.64,0.63,36
resnet18,apple_leaf_healthy,0.77,1.0,0.87,20
resnet18,apple_leaf_rust,0.78,0.74,0.76,38
resnet18,apple_leaf_scab,0.63,0.71,0.67,34
resnet18,corn_grey_leaf_spot,0.62,0.82,0.71,22
resnet18,corn_leaf_blight,0.92,0.56,0.7,43
resnet18,corn_leaf_healthy,0.5,0.83,0.62,12
resnet18,corn_leaf_rust,0.83,0.91,0.87,32
resnet18,potato_leaf_blight,0.76,0.81,0.78,42
resnet18,potato_leafroll_virus,0.54,0.88,0.67,8
resnet18,tomato_leaf_bacterial_spot,0.59,0.48,0.53,27
resnet18,tomato_leaf_early_blight,0.59,0.46,0.52,28
resnet18,tomato_leaf_healthy,0.67,0.78,0.72,18
resnet18,tomato_leaf_late_blight,0.72,0.62,0.67,29
resnet18,tomato_leaf_mould,0.78,0.69,0.73,26
resnet18,tomato_leaf_powdery_mildew,1.0,0.67,0.8,12
resnet18,tomato_septoria_leaf_spot,0.5,0.53,0.51,36
resnet50,apple_leaf_healthy,0.91,1.0,0.95,20
resnet50,apple_leaf_rust,0.86,0.79,0.82,38
resnet50,apple_leaf_scab,0.79,0.88,0.83,34
resnet50,corn_grey_leaf_spot,0.58,0.68,0.62,22
resnet50,corn_leaf_blight,0.93,0.65,0.77,43
resnet50,corn_leaf_healthy,0.71,0.83,0.77,12
resnet50,corn_leaf_rust,0.74,0.97,0.84,32
resnet50,potato_leaf_blight,0.78,0.76,0.77,42
resnet50,potato_leafroll_virus,0.47,1.0,0.64,8
resnet50,tomato_leaf_bacterial_spot,0.37,0.37,0.37,27
resnet50,tomato_leaf_early_blight,0.5,0.5,0.5,28
resnet50,tomato_leaf_healthy,0.76,0.72,0.74,18
resnet50,tomato_leaf_late_blight,0.85,0.76,0.8,29
resnet50,tomato_leaf_mould,0.86,0.69,0.77,26
resnet50,tomato_leaf_powdery_mildew,0.83,0.42,0.56,12
resnet50,tomato_septoria_leaf_spot,0.59,0.61,0.6,36
